state,community
Iowa,0
Kansas,0
Minnesota,0
Missouri,0
Montana,0
Nebraska,0
North Dakota,0
South Dakota,0
Wyoming,0
Alaska,1
Hawaii,2
Alabama,3
Arkansas,3
Florida,3
Georgia,3
Louisiana,3
Mississippi,3
North Carolina,3
Oklahoma,3
South Carolina,3
Tennessee,3
Texas,3
Arizona,4
California,4
Colorado,4
Idaho,4
Nevada,4
New Mexico,4
Oregon,4
Utah,4
Washington,4
Connecticut,5
Maine,5
Massachusetts,5
New Hampshire,5
New York,5
Rhode Island,5
Vermont,5
Delaware,6
Illinois,6
Indiana,6
Kentucky,6
Maryland,6
Michigan,6
New Jersey,6
Ohio,6
Pennsylvania,6
Virginia,6
West Virginia,6
Wisconsin,6
